Year,Month,Curve Name,Short,Long,Net,,Date for lookup,Basin
2023,5,Charter Hire Curve 174 Pacific Notional,0,93,93,,May-2023,Pacific 
2023,6,Charter Hire Curve 155 Atlantic Notional,0,30,30,,Jun-2023,Atlantic
2023,6,Charter Hire Curve 155 Pacific Notional,-57,30,-27,,Jun-2023,Pacific 
2023,6,Charter Hire Curve 174 Atlantic Notional,0,60,60,,Jun-2023,Atlantic
2023,6,Charter Hire Curve 174 Pacific Notional,0,90,90,,Jun-2023,Pacific 
2023,7,Charter Hire Curve 155 Atlantic Notional,-47,31,-16,,Jul-2023,Atlantic
2023,7,Charter Hire Curve 174 Atlantic Notional,-27,62,35,,Jul-2023,Atlantic
2023,7,Charter Hire Curve 174 Pacific Notional,-20,93,73,,Jul-2023,Pacific 
2023,8,Charter Hire Curve 155 Atlantic Notional,-22,31,9,,Aug-2023,Atlantic
2023,8,Charter Hire Curve 155 Pacific Notional,-48,0,-48,,Aug-2023,Pacific 
2023,8,Charter Hire Curve 174 Atlantic Notional,-27,62,35,,Aug-2023,Atlantic
2023,8,Charter Hire Curve 174 Pacific Notional,0,93,93,,Aug-2023,Pacific 
2023,9,Charter Hire Curve 155 Atlantic Notional,-22,30,8,,Sep-2023,Atlantic
2023,9,Charter Hire Curve 155 Pacific Notional,-66,0,-66,,Sep-2023,Pacific 
2023,9,Charter Hire Curve 174 Atlantic Notional,-50,60,10,,Sep-2023,Atlantic
2023,9,Charter Hire Curve 174 Pacific Notional,0,90,90,,Sep-2023,Pacific 
2023,10,Charter Hire Curve 155 Atlantic Notional,0,20,20,,Oct-2023,Atlantic
2023,10,Charter Hire Curve 155 Pacific Notional,-71,0,-71,,Oct-2023,Pacific 
2023,10,Charter Hire Curve 174 Atlantic Notional,0,62,62,,Oct-2023,Atlantic
2023,10,Charter Hire Curve 174 Pacific Notional,-36,93,57,,Oct-2023,Pacific 
2023,11,Charter Hire Curve 155 Pacific Notional,-79,0,-79,,Nov-2023,Pacific 
2023,11,Charter Hire Curve 174 Atlantic Notional,0,60,60,,Nov-2023,Atlantic
2023,11,Charter Hire Curve 174 Pacific Notional,0,73,73,,Nov-2023,Pacific 
2023,12,Charter Hire Curve 155 Atlantic Notional,-23,0,-23,,Dec-2023,Atlantic
2023,12,Charter Hire Curve 155 Pacific Notional,-69,0,-69,,Dec-2023,Pacific 
2023,12,Charter Hire Curve 174 Atlantic Notional,-58,62,4,,Dec-2023,Atlantic
2023,12,Charter Hire Curve 174 Pacific Notional,0,62,62,,Dec-2023,Pacific 
2024,1,Charter Hire Curve 155 Pacific Notional,-48,0,-48,,Jan-2024,Pacific 
2024,1,Charter Hire Curve 174 Atlantic Notional,-22,62,40,,Jan-2024,Atlantic
2024,1,Charter Hire Curve 174 Pacific Notional,0,41,41,,Jan-2024,Pacific 
2024,2,Charter Hire Curve 155 Pacific Notional,-66,0,-66,,Feb-2024,Pacific 
2024,2,Charter Hire Curve 174 Atlantic Notional,-58,58,0,,Feb-2024,Atlantic
2024,2,Charter Hire Curve 174 Pacific Notional,0,29,29,,Feb-2024,Pacific 
2024,3,Charter Hire Curve 155 Atlantic Notional,-29,0,-29,,Mar-2024,Atlantic
2024,3,Charter Hire Curve 155 Pacific Notional,-46,0,-46,,Mar-2024,Pacific 
2024,3,Charter Hire Curve 174 Atlantic Notional,-34,62,28,,Mar-2024,Atlantic
2024,3,Charter Hire Curve 174 Pacific Notional,0,26,26,,Mar-2024,Pacific 
2024,4,Charter Hire Curve 155 Pacific Notional,-66,0,-66,,Apr-2024,Pacific 
2024,4,Charter Hire Curve 174 Atlantic Notional,-29,60,31,,Apr-2024,Atlantic
2024,5,Charter Hire Curve 155 Pacific Notional,-29,0,-29,,May-2024,Pacific 
2024,5,Charter Hire Curve 174 Atlantic Notional,-108,62,-46,,May-2024,Atlantic
2024,6,Charter Hire Curve 174 Atlantic Notional,-53,60,7,,Jun-2024,Atlantic
,,,,,,,-,-
,,,,,,,-,-
,,,,,,,-,-
,,,,,,,-,-
,,,,,,,-,-
,,,,,,,-,-
,,,,,,,-,-
,,,,,,,-,-
,,,,,,,-,-
,,,,,,,-,-
,,,,,,,-,-
,,,,,,,-,-
,,,,,,,-,-
,,,,,,,-,-
,,,,,,,-,-
,,,,,,,-,-
,,,,,,,-,-
,,,,,,,-,-
,,,,,,,-,-
,,,,,,,-,-
,,,,,,,-,-
,,,,,,,-,-
,,,,,,,-,-
,,,,,,,-,-
,,,,,,,-,-
,,,,,,,-,-
,,,,,,,-,-
