Category,Aug 21,Sep 21,Oct 21,Nov 21,Dec 21,Jan 22,Feb 22,Mar 22,Apr 22,May 22,Jun 22,Jul 22,Aug 22,Sep 22,Oct 22,Nov 22,Dec 22,Jan 23,Feb 23,Mar 23,Apr 23,May 23,Jun 23,Jul 23,Aug 23,Sep 23,Oct 23,Nov 23,Dec 23,Jan 24,Feb 24,Mar 24,Apr 24,May 24,Jun 24,Liq Total
Net Length in Pacific,,6,42,81,15,31,102,60,63,40,90,74,58,29,74,15,76,82,34,11,30,114,63,73,45,24,-14,-6,-7,-7,-37,-20,-66,-29,,1146
Net Length in Atlantic,-33,,46,62,74,51,27,66,65,124,85,114,100,80,82,120,116,92,58,78,9,66,90,19,44,18,82,60,-19,40,,-1,31,-46,7,1807
Net Shipping Position (Days),-33,6,88,143,89,82,129,126,128,164,175,188,158,109,156,135,192,174,92,89,39,180,153,92,89,42,68,54,-26,33,-37,-21,-35,-75,7,2953
